indicator,location,country,value,lat,long,code,rank
Health,FRA,France,74.85,46.227638,2.213749,250,20
Health,DEU,Germany,72.85,51.165691,10.451526,276,21
Health,BRA,Brazil,72.68333334,-14.235004,-51.92528,76,22
Health,FIN,Finland,72.53333334,61.92411,25.748151,246,23
Health,SVN,Slovenia,72.5,46.151241,14.995463,705,24
Health,TUR,Turkey,72.38333334,38.963745,35.243322,792,25
Health,SVK,Slovak Republic,71.85,48.669026,19.699024,703,26
Health,MEX,Mexico,70.58333334,23.634501,-102.552784,484,27
Health,CHL,Chile,69.71666667,-35.675147,-71.542969,152,28
Health,CZE,Czech Republic,69.63333334,49.817492,15.472962,203,29
Health,POL,Poland,68.35,51.919438,19.145136,616,30
Health,HUN,Hungary,67.13333334,47.162494,19.503304,348,31
Health,EST,Estonia,66.43333334,58.595272,25.013607,233,32
Health,PRT,Portugal,64.4,39.399872,-8.224454,620,33
Health,LVA,Latvia,62.65,56.879635,24.603189,428,34
Health,ZAF,South Africa,62.38333334,-30.559482,22.937506,710,35
Health,JPN,Japan,59.1,36.204824,138.252924,392,36
Health,KOR,Korea,58.8,35.907757,127.766922,410,37
Health,RUS,Russia,55.25,61.52401,105.318756,643,38
Housing,LVA,Latvia,13.96666667,56.879635,24.603189,428,1
Housing,ZAF,South Africa,13.06666667,-30.559482,22.937506,710,2
Housing,JPN,Japan,10.1,36.204824,138.252924,392,3
Housing,TUR,Turkey,9.9,38.963745,35.243322,792,4
Housing,BRA,Brazil,9.533333333,-14.235004,-51.92528,76,5
Housing,CHL,Chile,9.533333333,-35.675147,-71.542969,152,6
Housing,CZE,Czech Republic,9.366666667,49.817492,15.472962,203,7
Housing,EST,Estonia,9.266666667,58.595272,25.013607,233,8
Housing,GRC,Greece,9.233333333,39.074208,21.824312,300,9
Housing,DNK,Denmark,9.133333333,56.26392,9.501785,208,10
Housing,SVK,Slovak Republic,9.133333333,48.669026,19.699024,703,11
Housing,MEX,Mexico,9.066666667,23.634501,-102.552784,484,12
Housing,ISR,Israel,8.866666667,31.046051,34.851612,376,13
Housing,HUN,Hungary,8.8,47.162494,19.503304,348,14
Housing,RUS,Russia,8.766666667,61.52401,105.318756,643,15
Housing,ITA,Italy,8.733333333,41.87194,12.56738,380,16
Housing,POL,Poland,8.733333333,51.919438,19.145136,616,17
Housing,NZL,New Zealand,8.566666667,-40.900557,174.885971,554,18
Housing,ISL,Iceland,8.533333333,64.963051,-19.020835,352,19
Housing,BEL,Belgium,8.433333333,50.503887,4.469936,56,20
Housing,GBR,United Kingdom,8.433333333,55.378051,-3.435973,826,21
Housing,ESP,Spain,8.333333333,40.463667,-3.74922,724,22
Housing,FIN,Finland,8.166666667,61.92411,25.748151,246,23
Housing,CHE,Switzerland,7.933333333,46.818188,8.227512,756,24
Housing,DEU,Germany,7.933333333,51.165691,10.451526,276,25
Housing,CAN,Canada,7.9,56.130366,-106.346771,124,26
Housing,AUT,Austria,7.866666667,47.516231,14.550072,40,27
