indicator,location,country,value,rank,lat,long,code
Housing,KOR,Korea,7.2,34,35.907757,127.766922,410
Housing,USA,United States,7.166666667,35,37.09024,-95.712891,840
Housing,SVN,Slovenia,7.033333333,36,46.151241,14.995463,705
Housing,NLD,Netherlands,6.966666667,37,52.132633,5.291266,528
Housing,NOR,Norway,6.666666667,38,60.472024,8.468946,578
Income,USA,United States,104167.8,1,37.09024,-95.712891,840
Income,CHE,Switzerland,79167.3,2,46.818188,8.227512,756
Income,JPN,Japan,60955.9,3,36.204824,138.252924,392
Income,BEL,Belgium,59482.1,4,50.503887,4.469936,56
Income,CAN,Canada,54151,5,56.130366,-106.346771,124
Income,LUX,Luxembourg,53826.2,6,49.815273,6.129583,442
Income,NZL,New Zealand,53146.6,7,-40.900557,174.885971,554
Income,NLD,Netherlands,50295.7,8,52.132633,5.291266,528
Income,SWE,Sweden,50043.6,9,60.128161,18.643501,752
Income,GBR,United Kingdom,49605.1,10,55.378051,-3.435973,826
Income,AUT,Austria,44460.6,11,47.516231,14.550072,40
Income,FRA,France,43034.3,12,46.227638,2.213749,250
Income,AUS,Australia,42139.9,13,-25.274398,133.775136,36
Income,DEU,Germany,41947.7,14,51.165691,10.451526,276
Income,ITA,Italy,41716.9,15,41.87194,12.56738,380
Income,ISL,Iceland,41713.9,16,64.963051,-19.020835,352
Income,DNK,Denmark,41482.2,17,56.26392,9.501785,208
Income,ISR,Israel,36939.7,18,31.046051,34.851612,376
Income,IRL,Ireland,28135.5,19,53.41291,-8.24389,372
Income,FIN,Finland,27066.9,20,61.92411,25.748151,246
Income,ESP,Spain,26627.4,21,40.463667,-3.74922,724
Income,KOR,Korea,25785.7,22,35.907757,127.766922,410
Income,NOR,Norway,25748.8,23,60.472024,8.468946,578
Income,PRT,Portugal,25619.7,24,39.399872,-8.224454,620
Income,CZE,Czech Republic,20061.3,25,49.817492,15.472962,203
Income,SVN,Slovenia,18498.5,26,46.151241,14.995463,705
Income,GRC,Greece,18375.3,27,39.074208,21.824312,300
Income,CHL,Chile,18199.1,28,-35.675147,-71.542969,152
Income,HUN,Hungary,17114.3,29,47.162494,19.503304,348
Income,EST,Estonia,16689,30,58.595272,25.013607,233
Income,POL,Poland,15925.2,31,51.919438,19.145136,616
Income,ZAF,South Africa,14452.5,32,-30.559482,22.937506,710
Income,SVK,Slovak Republic,14095.8,33,48.669026,19.699024,703
Income,MEX,Mexico,12406.2,34,23.634501,-102.552784,484
Income,LVA,Latvia,12321.9,35,56.879635,24.603189,428
Income,RUS,Russia,11412.4,36,61.52401,105.318756,643
Income,BRA,Brazil,10654.4,37,-14.235004,-51.92528,76
Income,TUR,Turkey,9556.1,38,38.963745,35.243322,792
Jobs,LUX,Luxembourg,14765.10636,1,49.815273,6.129583,442
Jobs,CHE,Switzerland,14023.26158,2,46.818188,8.227512,756
Jobs,ISL,Iceland,13798.96883,3,64.963051,-19.020835,352
Jobs,USA,United States,13282.50736,4,37.09024,-95.712891,840
Jobs,IRL,Ireland,12827.05688,5,53.41291,-8.24389,372
Jobs,AUS,Australia,12219.80348,6,-25.274398,133.775136,36
Jobs,NLD,Netherlands,12152.56702,7,52.132633,5.291266,528
Jobs,DNK,Denmark,12102.53918,8,56.26392,9.501785,208
Jobs,NOR,Norway,11958.71355,9,60.472024,8.468946,578
Jobs,BEL,Belgium,11740.19803,10,50.503887,4.469936,56
Jobs,CAN,Canada,11669.86673,11,56.130366,-106.346771,124
Jobs,AUT,Austria,11063.85677,12,47.516231,14.550072,40
Jobs,NZL,New Zealand,11021.91533,13,-40.900557,174.885971,554
Jobs,DEU,Germany,10631.07034,14,51.165691,10.451526,276
Jobs,FIN,Finland,9992.032433,15,61.92411,25.748151,246
Jobs,SWE,Sweden,9892.716168,16,60.128161,18.643501,752
Jobs,FRA,France,9823.663334,17,46.227638,2.213749,250
Jobs,GBR,United Kingdom,9723.776523,18,55.378051,-3.435973,826
Jobs,ESP,Spain,8916.617265,19,40.463667,-3.74922,724
Jobs,JPN,Japan,8585.774871,20,36.204824,138.252924,392
Jobs,ITA,Italy,8467.992685,21,41.87194,12.56738,380
Jobs,KOR,Korea,7939.696824,22,35.907757,127.766922,410
Jobs,SVN,Slovenia,7929.879881,23,46.151241,14.995463,705
Jobs,ISR,Israel,7137.243771,24,31.046051,34.851612,376
Jobs,GRC,Greece,6488.38859,25,39.074208,21.824312,300
Jobs,RUS,Russia,6446.268241,26,61.52401,105.318756,643
Jobs,PRT,Portugal,5866.679396,27,39.399872,-8.224454,620
Jobs,POL,Poland,5668.667921,28,51.919438,19.145136,616
Jobs,LVA,Latvia,5314.929658,29,56.879635,24.603189,428
Jobs,CZE,Czech Republic,5155.577761,30,49.817492,15.472962,203
Jobs,EST,Estonia,5142.059142,31,58.595272,25.013607,233
Jobs,SVK,Slovak Republic,5054.485132,32,48.669026,19.699024,703
Jobs,CHL,Chile,4982.123389,33,-35.675147,-71.542969,152
Jobs,HUN,Hungary,4969.253174,34,47.162494,19.503304,348
Jobs,TUR,Turkey,3754.07647,35,38.963745,35.243322,792
Jobs,MEX,Mexico,3087.589069,36,23.634501,-102.552784,484
Jobs,BRA,Brazil,2432.978863,37,-14.235004,-51.92528,76
Jobs,ZAF,South Africa,1297.182414,38,-30.559482,22.937506,710
Life Satisfaction,CHE,Switzerland,7.65,1,46.818188,8.227512,756
Life Satisfaction,DNK,Denmark,7.6,2,56.26392,9.501785,208
Life Satisfaction,NOR,Norway,7.6,3,60.472024,8.468946,578
Life Satisfaction,ISL,Iceland,7.5,4,64.963051,-19.020835,352
Life Satisfaction,FIN,Finland,7.46,5,61.92411,25.748151,246
Life Satisfaction,CAN,Canada,7.45,6,56.130366,-106.346771,124
Life Satisfaction,NZL,New Zealand,7.44,7,-40.900557,174.885971,554
Life Satisfaction,NLD,Netherlands,7.35,8,52.132633,5.291266,528
Life Satisfaction,SWE,Sweden,7.35,9,60.128161,18.643501,752
Life Satisfaction,AUS,Australia,7.325,10,-25.274398,133.775136,36
Life Satisfaction,AUT,Austria,7.15,11,47.516231,14.550072,40
Life Satisfaction,ISR,Israel,7.15,12,31.046051,34.851612,376
Life Satisfaction,DEU,Germany,7.075,13,51.165691,10.451526,276
Life Satisfaction,BEL,Belgium,6.975,14,50.503887,4.469936,56
Life Satisfaction,USA,United States,6.975,15,37.09024,-95.712891,840
Life Satisfaction,IRL,Ireland,6.875,16,53.41291,-8.24389,372
Life Satisfaction,CZE,Czech Republic,6.775,17,49.817492,15.472962,203
Life Satisfaction,LUX,Luxembourg,6.7,18,49.815273,6.129583,442
Life Satisfaction,CHL,Chile,6.58,19,-35.675147,-71.542969,152
Life Satisfaction,GBR,United Kingdom,6.56,20,55.378051,-3.435973,826
Life Satisfaction,BRA,Brazil,6.525,21,-14.235004,-51.92528,76
Life Satisfaction,SVK,Slovak Republic,6.425,22,48.669026,19.699024,703
Life Satisfaction,FRA,France,6.42,23,46.227638,2.213749,250
Life Satisfaction,ESP,Spain,6.35,24,40.463667,-3.74922,724
Life Satisfaction,MEX,Mexico,6.28,25,23.634501,-102.552784,484
Life Satisfaction,RUS,Russia,6.02,26,61.52401,105.318756,643
Life Satisfaction,POL,Poland,5.98,27,51.919438,19.145136,616
Life Satisfaction,ITA,Italy,5.9,28,41.87194,12.56738,380
Life Satisfaction,LVA,Latvia,5.9,29,56.879635,24.603189,428
Life Satisfaction,JPN,Japan,5.88,30,36.204824,138.252924,392
Life Satisfaction,KOR,Korea,5.74,31,35.907757,127.766922,410
Life Satisfaction,SVN,Slovenia,5.65,32,46.151241,14.995463,705
Life Satisfaction,EST,Estonia,5.64,33,58.595272,25.013607,233
Life Satisfaction,GRC,Greece,5.62,34,39.074208,21.824312,300
Life Satisfaction,TUR,Turkey,5.54,35,38.963745,35.243322,792
Life Satisfaction,HUN,Hungary,5.4,36,47.162494,19.503304,348
Life Satisfaction,PRT,Portugal,5.2,37,39.399872,-8.224454,620
Life Satisfaction,ZAF,South Africa,5,38,-30.559482,22.937506,710
Safety,NOR,Norway,45.25,1,60.472024,8.468946,578
Safety,CHE,Switzerland,43.96666667,2,46.818188,8.227512,756
Safety,FIN,Finland,43.68333333,3,61.92411,25.748151,246
Safety,DNK,Denmark,42.76666667,4,56.26392,9.501785,208
Safety,SVN,Slovenia,42.18333333,5,46.151241,14.995463,705
Safety,CAN,Canada,41.9,6,56.130366,-106.346771,124
Safety,ESP,Spain,41.15,7,40.463667,-3.74922,724
Safety,AUT,Austria,40.85,8,47.516231,14.550072,40
Safety,NLD,Netherlands,40.66666667,9,52.132633,5.291266,528
Safety,USA,United States,39.45,10,37.09024,-95.712891,840
Safety,ISL,Iceland,39.2,11,64.963051,-19.020835,352
Safety,GBR,United Kingdom,39.06666667,12,55.378051,-3.435973,826
Safety,IRL,Ireland,38.96666667,13,53.41291,-8.24389,372
Safety,SWE,Sweden,38.86666667,14,60.128161,18.643501,752
Safety,DEU,Germany,37.61666667,15,51.165691,10.451526,276
Safety,EST,Estonia,36.41666667,16,58.595272,25.013607,233
Safety,FRA,France,35.78333334,17,46.227638,2.213749,250
Safety,CZE,Czech Republic,35.6,18,49.817492,15.472962,203
Safety,JPN,Japan,35.41666667,19,36.204824,138.252924,392
Safety,LUX,Luxembourg,35.41666667,20,49.815273,6.129583,442
Safety,BEL,Belgium,35.38333333,21,50.503887,4.469936,56
Safety,PRT,Portugal,35.28333334,22,39.399872,-8.224454,620
Safety,KOR,Korea,34.41666667,23,35.907757,127.766922,410
Safety,LVA,Latvia,34.25,24,56.879635,24.603189,428
Safety,ISR,Israel,34.08333334,25,31.046051,34.851612,376
Safety,POL,Poland,33.63333333,26,51.919438,19.145136,616
Safety,BRA,Brazil,33.45,27,-14.235004,-51.92528,76
Safety,NZL,New Zealand,33.2,28,-40.900557,174.885971,554
Safety,RUS,Russia,32.65,29,61.52401,105.318756,643
Safety,GRC,Greece,32.16666667,30,39.074208,21.824312,300
Safety,AUS,Australia,32.13333333,31,-25.274398,133.775136,36
Safety,MEX,Mexico,32.08333333,32,23.634501,-102.552784,484
Safety,SVK,Slovak Republic,31.8,33,48.669026,19.699024,703
Safety,TUR,Turkey,31.08333334,34,38.963745,35.243322,792
Safety,ITA,Italy,30.16666667,35,41.87194,12.56738,380
Safety,HUN,Hungary,27.41666667,36,47.162494,19.503304,348
Safety,CHL,Chile,27.01666667,37,-35.675147,-71.542969,152
Safety,ZAF,South Africa,24.95,38,-30.559482,22.937506,710
Work-Life Balance,TUR,Turkey,24.81333333,1,38.963745,35.243322,792
Work-Life Balance,MEX,Mexico,19.79833334,2,23.634501,-102.552784,484
Work-Life Balance,KOR,Korea,18.45666667,3,35.907757,127.766922,410
Work-Life Balance,JPN,Japan,17.95833333,4,36.204824,138.252924,392
Work-Life Balance,ZAF,South Africa,16.24166667,5,-30.559482,22.937506,710
Work-Life Balance,NZL,New Zealand,14.29333333,6,-40.900557,174.885971,554
Work-Life Balance,ISR,Israel,14.23166667,7,31.046051,34.851612,376
Work-Life Balance,CHL,Chile,13.88,8,-35.675147,-71.542969,152
Work-Life Balance,GBR,United Kingdom,13.81166667,9,55.378051,-3.435973,826
Work-Life Balance,ISL,Iceland,13.775,10,64.963051,-19.020835,352
Work-Life Balance,AUS,Australia,13.73166667,11,-25.274398,133.775136,36
Work-Life Balance,USA,United States,13.02166667,12,37.09024,-95.712891,840
Work-Life Balance,PRT,Portugal,12.27833334,13,39.399872,-8.224454,620
Work-Life Balance,FRA,France,12.05333334,14,46.227638,2.213749,250
Work-Life Balance,BRA,Brazil,11.75333333,15,-14.235004,-51.92528,76
Work-Life Balance,AUT,Austria,10.88833333,16,47.516231,14.550072,40
Work-Life Balance,POL,Poland,10.72833333,17,51.919438,19.145136,616
Work-Life Balance,ESP,Spain,10.70666667,18,40.463667,-3.74922,724
Work-Life Balance,CHE,Switzerland,10.60166667,19,46.818188,8.227512,756
Work-Life Balance,SVK,Slovak Republic,10.49833334,20,48.669026,19.699024,703
Work-Life Balance,GRC,Greece,10.47833333,21,39.074208,21.824312,300
Work-Life Balance,CZE,Czech Republic,10.405,22,49.817492,15.472962,203
Work-Life Balance,BEL,Belgium,10.215,23,50.503887,4.469936,56
Work-Life Balance,DEU,Germany,10.21333333,24,51.165691,10.451526,276
Work-Life Balance,SVN,Slovenia,10.07833333,25,46.151241,14.995463,705
Work-Life Balance,IRL,Ireland,9.716666665,26,53.41291,-8.24389,372
Work-Life Balance,FIN,Finland,9.399999999,27,61.92411,25.748151,246
Work-Life Balance,HUN,Hungary,9.368333334,28,47.162494,19.503304,348
Work-Life Balance,NOR,Norway,9.289999999,29,60.472024,8.468946,578
Work-Life Balance,ITA,Italy,9.253333335,30,41.87194,12.56738,380
Work-Life Balance,LUX,Luxembourg,9.15,31,49.815273,6.129583,442
Work-Life Balance,CAN,Canada,9.103333332,32,56.130366,-106.346771,124
Work-Life Balance,EST,Estonia,9.098333335,33,58.595272,25.013607,233
Work-Life Balance,DNK,Denmark,9.029999999,34,56.26392,9.501785,208
Work-Life Balance,NLD,Netherlands,8.150000002,35,52.132633,5.291266,528
Work-Life Balance,LVA,Latvia,8.145000002,36,56.879635,24.603189,428
Work-Life Balance,SWE,Sweden,8.138333335,37,60.128161,18.643501,752
Work-Life Balance,RUS,Russia,7.528333334,38,61.52401,105.318756,643
